日付,曜日,予約件数,予約人数,来客数,総杯数,売上合計(円),ペールエール(本),ペールエール(円),ラガー(本),ラガー(円),IPA(本),IPA(円),ホワイトビール(本),ホワイトビール(円),黒ビール(本),黒ビール(円),フルーツビール(本),フルーツビール(円),平均気温(℃),天気概況(昼：06時～18時),降水量の合計(mm),合計全天日射量(MJ/㎡),最深積雪(cm),平均風速(m/s),平均蒸気圧(hPa),平均現地気圧(hPa),平均湿度(％),最大風速(m/s),最大瞬間風速(m/s),最高気温(℃),最低気温(℃),降雪量合計(cm),天気概況コード,曜日番号
2024-04-12,金,,,17,30,28400,7,7000,5,4000,6,5400,6,5400,3,3600,3,3000,15.0,曇一時雨,2.5,11.53,0.0,2.3,12.5,1018.0,73.0,4.5,8.6,18.2,12.8,0.0,14,4
2024-04-13,土,,,17,33,31400,8,8000,8,6400,6,5400,4,3600,5,6000,2,2000,16.4,薄曇時々晴,0.0,21.47,0.0,2.3,12.4,1015.9,68.0,4.2,8.4,22.7,11.1,0.0,25,5
2024-04-15,月,,,21,34,32400,10,10000,6,4800,6,5400,6,5400,4,4800,2,2000,19.4,晴後薄曇,0.0,24.15,0.0,2.8,14.0,1018.6,65.0,5.5,9.3,26.8,14.0,0.0,9,0
2024-04-16,火,,,13,22,20600,6,6000,5,4000,5,4500,3,2700,2,2400,1,1000,19.2,晴一時曇,0.0,19.85,0.0,5.3,14.5,1012.9,66.0,10.4,17.5,23.4,15.9,0.0,4,1
2024-04-17,水,,,15,26,24800,6,6000,6,4800,4,3600,4,3600,4,4800,2,2000,20.1,晴時々曇,0.0,18.23,0.0,3.0,16.4,1006.1,70.0,6.6,12.2,25.5,16.5,0.0,10,2
2024-04-18,木,,,5,7,6800,2,2000,1,800,1,900,1,900,1,1200,1,1000,17.9,曇後一時雨,1.5,10.09,0.0,2.7,13.6,1003.1,67.0,4.5,8.3,21.4,14.3,0.0,16,3
2024-04-19,金,,,15,34,32000,9,9000,9,7200,6,5400,4,3600,4,4800,2,2000,18.3,晴一時薄曇,0.0,26.08,0.0,5.6,9.4,1002.6,46.0,10.6,19.8,23.6,14.1,0.0,5,4
2024-04-20,土,,,19,27,26000,8,8000,5,4000,5,4500,3,2700,4,4800,2,2000,19.4,曇,0.0,20.88,0.0,2.5,10.5,1008.9,48.0,5.1,7.3,26.1,12.7,0.0,12,5
2024-04-22,月,,,15,23,21600,6,6000,6,4800,3,2700,5,4500,3,3600,0,0,15.6,曇時々雨,7.0,5.17,0.0,2.2,15.8,1011.0,89.0,3.7,6.6,18.6,13.2,0.0,20,0
2024-04-23,火,,,20,33,31100,7,7000,8,6400,6,5400,5,4500,4,4800,3,3000,16.9,曇,0.0,5.48,0.0,2.1,15.7,1014.1,82.0,4.3,8.1,19.4,14.8,0.0,12,1
2024-04-24,水,,,5,9,8600,2,2000,2,1600,1,900,1,900,1,1200,2,2000,15.0,雨,20.5,3.16,0.0,2.1,16.0,1010.8,94.0,5.0,7.9,16.5,13.9,0.0,26,2
2024-04-25,木,,,14,27,25700,7,7000,6,4800,3,2700,4,3600,3,3600,4,4000,19.5,晴一時曇,0.5,25.24,0.0,2.2,17.4,1002.9,78.0,4.9,8.3,25.8,13.8,0.0,4,3
2024-04-26,金,,,19,33,31900,10,10000,7,5600,4,3600,5,4500,6,7200,1,1000,20.3,曇,0.0,15.66,0.0,2.4,17.2,1010.8,72.0,5.2,8.5,25.1,15.1,0.0,12,4
2024-04-27,土,,,12,19,18000,6,6000,4,3200,3,2700,3,2700,2,2400,1,1000,19.5,雨後曇,0.0,8.77,0.0,1.9,18.8,1009.1,84.0,4.5,6.3,23.2,16.6,0.0,27,5
2024-04-29,月,,,7,14,13400,2,2000,3,2400,2,1800,2,1800,2,2400,3,3000,21.2,曇,0.0,18.94,0.0,3.7,19.8,1009.4,80.0,7.6,13.3,25.8,17.4,0.0,12,0
2024-04-30,火,,,10,20,19500,6,6000,3,2400,3,2700,2,1800,3,3600,3,3000,20.9,曇一時雨,2.5,11.93,0.0,2.4,20.7,1000.8,84.0,5.2,8.2,25.2,18.2,0.0,14,1
2024-05-01,水,,,3,5,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,16.5,その他,26.5,2.83,0.0,3.0,17.4,1003.1,92.0,7.0,14.2,21.2,11.8,0.0,0,2
2024-05-02,木,,,11,25,23300,6,6000,7,5600,4,3600,5,4500,3,3600,0,0,15.3,晴時々曇,3.0,22.5,0.0,2.9,11.7,1013.8,70.0,5.3,11.3,21.7,10.8,0.0,10,3
2024-05-03,金,,,24,45,42700,9,9000,12,9600,6,5400,7,6300,7,8400,4,4000,17.7,快晴,0.0,28.42,0.0,2.6,12.3,1015.9,63.0,5.5,9.5,24.2,11.4,0.0,2,4
2024-05-04,土,,,15,27,25500,8,8000,7,5600,4,3600,3,2700,3,3600,2,2000,20.9,快晴,0.0,27.87,0.0,2.4,13.0,1017.2,57.0,5.5,8.5,27.8,14.8,0.0,2,5
2024-05-06,月,,,14,18,16900,5,5000,4,3200,4,3600,3,2700,2,2400,0,0,20.9,曇後一時雨,0.0,9.66,0.0,5.7,16.9,1015.2,68.0,8.3,14.9,23.6,19.1,0.0,16,0
2024-05-07,火,,,15,21,19700,5,5000,5,4000,4,3600,3,2700,2,2400,2,2000,20.0,その他,5.0,4.98,0.0,4.1,20.6,1006.3,88.0,7.5,14.0,22.2,18.6,0.0,0,1
2024-05-08,水,,,11,20,19100,5,5000,4,3200,3,2700,4,3600,3,3600,1,1000,17.8,その他,8.0,10.51,0.0,2.8,16.9,1003.7,83.0,6.0,11.9,23.8,11.4,0.0,0,2
2024-05-09,木,,,9,15,14400,3,3000,3,2400,2,1800,2,1800,2,2400,3,3000,13.7,その他,1.5,17.86,0.0,2.5,10.6,1010.8,70.0,5.8,9.2,18.9,10.2,0.0,0,3
2024-05-10,金,,,21,47,44500,10,10000,10,8000,8,7200,7,6300,5,6000,7,7000,17.5,晴,0.0,28.97,0.0,3.5,9.9,1018.0,50.0,6.9,11.6,24.4,8.7,0.0,3,4
2024-05-11,土,,,12,23,21500,4,4000,6,4800,4,3600,3,2700,2,2400,4,4000,20.3,晴,0.0,29.4,0.0,5.4,14.2,1018.7,61.0,10.1,16.9,25.9,14.1,0.0,3,5
2024-05-13,月,,,3,4,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,19.3,雨,58.5,4.37,0.0,3.8,21.6,1005.8,96.0,8.2,15.2,22.0,15.4,0.0,26,0
2024-05-14,火,,,15,28,26900,7,7000,5,4000,4,3600,5,4500,4,4800,3,3000,16.9,曇後晴,0.0,22.41,0.0,2.6,13.3,1015.1,71.0,4.9,8.9,21.6,12.2,0.0,17,1
2024-05-15,水,,,8,10,9500,4,4000,2,1600,2,1800,1,900,1,1200,0,0,19.4,薄曇,1.5,24.58,0.0,2.7,16.7,1012.7,76.0,5.8,9.5,25.7,13.8,0.0,21,2
2024-05-16,木,,,6,9,8500,2,2000,2,1600,2,1800,1,900,1,1200,1,1000,18.7,その他,10.0,15.04,0.0,4.0,16.9,1002.3,79.0,9.4,18.6,25.1,14.7,0.0,0,3
2024-05-17,金,,,16,30,28600,10,10000,7,5600,5,4500,3,2700,4,4800,1,1000,20.6,晴一時薄曇,0.0,28.71,0.0,2.8,11.6,1009.2,50.0,5.9,9.2,27.2,13.4,0.0,5,4
2024-05-18,土,,,16,35,33600,7,7000,7,5600,4,3600,4,3600,4,4800,9,9000,21.9,晴後一時薄曇,0.0,28.51,0.0,2.5,15.1,1015.7,59.0,5.5,7.9,28.8,16.2,0.0,7,5
2024-05-20,月,,,5,10,9500,3,3000,2,1600,2,1800,1,900,1,1200,1,1000,17.4,雨後曇,34.0,10.05,0.0,1.9,18.2,1010.7,92.0,5.5,10.0,21.4,14.4,0.0,27,0
2024-05-21,火,,,9,16,15100,3,3000,4,3200,3,2700,2,1800,2,2400,2,2000,22.5,薄曇,0.0,22.61,0.0,2.8,19.6,1012.0,74.0,6.6,11.5,28.9,16.9,0.0,21,1
2024-05-22,水,,,14,17,16200,3,3000,4,3200,2,1800,2,1800,2,2400,4,4000,20.6,薄曇一時晴,0.0,21.43,0.0,3.5,14.7,1016.8,61.0,5.8,9.2,25.3,18.0,0.0,22,2
2024-05-23,木,,,14,18,17700,4,4000,3,2400,3,2700,2,1800,4,4800,2,2000,21.4,曇,0.0,14.11,0.0,3.0,18.9,1009.9,75.0,5.4,8.8,25.2,18.1,0.0,12,3
2024-05-24,金,,,27,48,45800,10,10000,9,7200,8,7200,6,5400,5,6000,10,10000,23.3,薄曇後一時晴,0.0,23.66,0.0,2.5,18.7,1003.3,67.0,5.9,9.7,29.0,18.1,0.0,23,4
2024-05-25,土,,,12,23,21900,6,6000,5,4000,4,3600,3,2700,3,3600,2,2000,21.4,晴時々曇,0.0,24.36,0.0,3.3,13.0,1010.6,52.0,7.1,11.0,25.8,18.3,0.0,10,5
2024-05-27,月,,,15,27,25700,7,7000,7,5600,4,3600,3,2700,4,4800,2,2000,22.3,曇時々雨,0.0,7.17,0.0,4.3,22.5,1003.6,84.0,7.6,13.2,25.1,20.3,0.0,20,0
2024-05-28,火,,,7,9,8500,2,2000,2,1600,2,1800,1,900,1,1200,1,1000,24.0,雨時々曇,19.0,8.07,0.0,5.2,27.2,997.7,91.0,10.2,22.4,25.9,22.4,0.0,28,1
2024-05-29,水,,,14,28,26900,7,7000,5,4000,4,3600,3,2700,3,3600,6,6000,22.0,曇後晴,0.5,23.74,0.0,3.7,18.7,1003.7,71.0,7.1,13.0,25.8,18.8,0.0,17,2
2024-05-30,木,,,17,31,29400,6,6000,7,5600,5,4500,5,4500,4,4800,4,4000,22.5,晴後曇,0.0,19.21,0.0,3.0,19.8,1012.0,73.0,5.9,9.5,27.3,17.5,0.0,8,3
2024-05-31,金,,,7,17,16200,4,4000,3,2400,3,2700,3,2700,2,2400,2,2000,19.0,雨後曇,34.0,7.14,0.0,2.1,19.7,1005.9,90.0,4.8,7.9,21.7,16.6,0.0,27,4
2024-06-01,土,,,13,21,20200,6,6000,4,3200,3,2700,3,2700,3,3600,2,2000,20.9,曇,0.0,22.22,0.0,2.6,18.1,1005.8,75.0,6.4,9.8,26.3,17.4,0.0,12,5
2024-06-03,月,,,2,4,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,18.3,その他,25.5,13.01,0.0,2.2,18.2,1004.9,88.0,4.8,9.1,24.3,15.0,0.0,0,0
2024-06-04,火,,,10,18,17100,4,4000,4,3200,3,2700,2,1800,2,2400,3,3000,19.5,晴,0.0,22.0,0.0,2.5,16.6,1008.7,75.0,5.5,9.8,25.5,14.8,0.0,3,1
2024-06-05,水,,,18,24,22400,5,5000,6,4800,5,4500,3,2700,2,2400,3,3000,21.4,快晴,0.0,28.99,0.0,2.7,16.0,1014.4,64.0,8.0,13.3,27.4,16.4,0.0,2,2
2024-06-06,木,,,15,27,26000,7,7000,5,4000,5,4500,3,2700,4,4800,3,3000,22.0,曇,0.0,15.79,0.0,3.0,19.0,1016.6,72.0,7.0,10.9,27.0,18.1,0.0,12,3
2024-06-07,金,,,28,66,62900,20,20000,14,11200,9,8100,10,9000,8,9600,5,5000,22.1,晴時々曇,0.0,19.64,0.0,2.7,17.8,1014.9,67.0,5.6,9.3,26.7,18.1,0.0,10,4
2024-06-08,土,,,19,29,27300,6,6000,7,5600,4,3600,5,4500,3,3600,4,4000,22.8,晴後薄曇,0.0,29.16,0.0,2.7,17.8,1013.8,66.0,6.2,9.6,28.2,17.4,0.0,9,5
2024-06-10,月,,,9,13,12200,3,3000,3,2400,2,1800,2,1800,1,1200,2,2000,20.7,曇時々雨,17.0,11.06,0.0,2.4,20.6,1007.2,85.0,4.3,8.6,24.7,17.4,0.0,20,0
2024-06-11,火,,,18,24,22800,5,5000,6,4800,4,3600,2,1800,3,3600,4,4000,24.0,晴時々薄曇,0.0,27.88,0.0,3.2,21.4,1006.8,73.0,6.2,10.3,29.0,19.5,0.0,11,1
2024-06-12,水,,,8,13,12400,3,3000,3,2400,2,1800,2,1800,2,2400,1,1000,24.6,薄曇後晴,0.0,25.39,0.0,3.1,22.4,1005.8,74.0,5.8,9.5,30.1,20.0,0.0,24,2
2024-06-13,木,,,15,23,22000,6,6000,5,4000,3,2700,3,2700,3,3600,3,3000,22.6,曇後一時晴,0.0,7.6,0.0,2.0,22.3,1002.6,81.0,4.7,6.5,25.4,20.0,0.0,15,3
2024-06-14,金,,,18,36,33000,7,7000,10,8000,7,6300,7,6300,2,2400,3,3000,25.9,快晴,0.0,28.7,0.0,2.7,21.7,1005.2,67.0,6.5,9.2,31.7,19.5,0.0,2,4
2024-06-15,土,,,12,25,23900,7,7000,5,4000,3,2700,4,3600,3,3600,3,3000,24.8,薄曇,0.5,25.18,0.0,2.8,22.9,1005.4,75.0,6.6,9.7,29.9,20.9,0.0,21,5
2024-06-17,月,,,21,42,39200,8,8000,10,8000,5,4500,9,8100,3,3600,7,7000,26.0,曇,0.0,14.89,0.0,2.1,25.1,1004.8,75.0,5.5,8.1,30.5,22.5,0.0,12,0
2024-06-18,火,,,4,6,5800,2,2000,1,800,1,900,1,900,1,1200,0,0,19.2,大雨,98.0,1.62,0.0,2.0,22.2,1004.0,100.0,4.1,7.1,22.5,18.0,0.0,1,1
2024-06-19,水,,,16,20,19000,4,4000,4,3200,3,2700,3,2700,2,2400,4,4000,23.5,晴,0.0,29.75,0.0,2.7,20.2,1006.0,72.0,6.4,10.3,29.5,17.2,0.0,3,2
2024-06-20,木,,,15,28,26300,8,8000,6,4800,5,4500,6,5400,3,3600,0,0,24.4,薄曇,0.0,19.52,0.0,3.2,22.6,1007.8,75.0,6.5,11.4,28.4,20.8,0.0,21,3
2024-06-21,金,,,3,5,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,20.1,大雨,44.0,2.74,0.0,2.8,22.0,1003.4,94.0,5.3,9.4,23.3,17.3,0.0,1,4
2024-06-22,土,,,11,18,17300,4,4000,4,3200,3,2700,2,1800,3,3600,2,2000,23.9,薄曇時々晴,0.0,22.82,0.0,3.3,19.4,1004.9,67.0,6.2,13.2,30.0,16.8,0.0,25,5
2024-06-24,月,,,17,25,23100,4,4000,8,6400,6,5400,3,2700,3,3600,1,1000,26.7,晴時々薄曇,0.0,23.07,0.0,2.1,27.7,998.6,81.0,4.9,7.2,33.4,21.0,0.0,11,0
2024-06-25,火,,,14,27,25300,5,5000,7,5600,4,3600,5,4500,3,3600,3,3000,27.8,曇,0.0,15.79,0.0,2.0,28.1,1003.4,76.0,5.5,8.0,31.8,24.5,0.0,12,1
2024-06-26,水,,,18,23,21500,4,4000,6,4800,3,2700,4,3600,2,2400,4,4000,26.9,曇,0.0,14.45,0.0,2.6,25.7,1008.3,73.0,6.5,10.1,31.4,24.6,0.0,12,2
2024-06-27,木,,,18,22,20600,4,4000,6,4800,3,2700,3,2700,2,2400,4,4000,25.4,曇一時晴,0.0,18.91,0.0,3.2,22.5,1011.9,70.0,6.8,10.4,29.8,23.0,0.0,13,3
2024-06-28,金,,,5,12,11300,3,3000,3,2400,2,1800,1,900,1,1200,2,2000,22.0,大雨,82.5,3.6,0.0,1.9,25.9,1007.8,98.0,6.0,10.2,23.8,20.0,0.0,1,4
2024-06-29,土,,,11,23,22100,6,6000,4,3200,3,2700,4,3600,3,3600,3,3000,23.7,曇後晴,0.0,14.62,0.0,2.0,25.2,1007.3,87.0,3.9,6.2,29.0,20.7,0.0,17,5
2024-07-01,月,,,10,15,13800,3,3000,4,3200,3,2700,3,2700,1,1200,1,1000,26.3,その他,12.5,7.81,0.0,4.8,30.5,998.8,89.0,8.9,19.3,29.4,24.6,0.0,0,0
2024-07-02,火,,,13,23,21400,4,4000,6,4800,4,3600,4,3600,2,2400,3,3000,27.3,曇,0.0,14.64,0.0,2.3,29.0,1005.5,80.0,4.9,8.8,31.4,24.1,0.0,12,1
2024-07-03,水,,,25,42,39500,7,7000,10,8000,6,5400,7,6300,4,4800,8,8000,27.7,薄曇時々晴,0.0,22.13,0.0,2.6,28.3,1008.4,77.0,5.3,8.5,33.3,23.6,0.0,25,2
2024-07-04,木,,,20,32,30100,6,6000,7,5600,5,4500,6,5400,3,3600,5,5000,29.3,晴後一時曇,0.0,22.89,0.0,2.7,30.2,1002.8,75.0,6.6,10.4,35.0,25.0,0.0,6,3
2024-07-05,金,,,30,65,60400,11,11000,17,13600,10,9000,14,12600,6,7200,7,7000,30.2,快晴,0.0,27.73,0.0,2.7,29.8,1002.5,70.0,6.2,8.5,35.5,26.2,0.0,2,4
2024-07-06,土,,,3,5,4600,1,1000,1,800,1,900,1,900,0,0,1,1000,28.1,その他,36.0,19.5,0.0,2.1,31.6,1004.5,84.0,6.1,10.3,34.2,23.9,0.0,0,5
2024-07-08,月,,,23,43,39500,8,8000,13,10400,6,5400,9,8100,3,3600,4,4000,30.9,薄曇後晴,0.0,25.63,0.0,2.3,32.1,1001.0,73.0,5.2,7.1,36.0,26.1,0.0,24,0
2024-07-09,火,,,15,20,18700,4,4000,5,4000,3,2700,4,3600,2,2400,2,2000,30.1,その他,0.0,17.22,0.0,2.8,30.2,1001.1,72.0,7.8,12.7,34.5,26.2,0.0,0,1
2024-07-10,水,,,19,29,26800,5,5000,9,7200,5,4500,5,4500,3,3600,2,2000,29.5,曇,0.0,15.88,0.0,3.7,28.9,1001.1,70.0,8.8,14.7,33.7,26.6,0.0,12,2
2024-07-11,木,,,10,19,17600,5,5000,5,4000,3,2700,3,2700,1,1200,2,2000,27.8,曇時々雨,0.5,7.99,0.0,4.0,28.9,997.2,77.0,8.6,16.0,29.6,26.1,0.0,20,3
2024-07-12,金,,,10,21,20000,5,5000,4,3200,5,4500,3,2700,3,3600,1,1000,24.4,雨,13.5,5.25,0.0,1.8,28.3,999.8,93.0,4.9,8.4,26.9,22.4,0.0,26,4
2024-07-13,土,,,14,29,27500,7,7000,6,4800,4,3600,5,4500,3,3600,4,4000,26.2,その他,0.0,21.22,0.0,2.7,27.4,1006.4,82.0,5.9,9.3,31.3,22.5,0.0,0,5
2024-07-15,月,,,18,26,23700,6,6000,9,7200,5,4500,4,3600,2,2400,0,0,24.6,曇一時雨,0.5,7.37,0.0,2.4,27.1,1012.6,87.0,4.6,7.2,27.7,23.2,0.0,14,0
2024-07-16,火,,,5,6,5800,1,1000,1,800,1,900,1,900,1,1200,1,1000,23.9,雨時々曇,11.5,7.03,0.0,1.8,26.7,1013.4,90.0,3.3,6.0,27.3,22.2,0.0,28,1
2024-07-17,水,,,12,15,13900,3,3000,4,3200,2,1800,3,2700,1,1200,2,2000,25.8,曇,1.0,16.18,0.0,1.7,28.7,1009.7,87.0,4.1,8.1,31.3,22.1,0.0,12,2
2024-07-18,木,,,23,45,41800,8,8000,12,9600,7,6300,7,6300,3,3600,8,8000,28.4,薄曇後一時晴,0.0,23.01,0.0,2.3,29.7,1008.5,77.0,5.1,8.2,33.4,24.4,0.0,23,3
2024-07-19,金,,,17,37,34100,6,6000,12,9600,5,4500,6,5400,3,3600,5,5000,30.0,曇後一時晴,0.0,20.12,0.0,3.0,30.5,1006.3,72.0,5.4,8.8,34.5,26.0,0.0,15,4
2024-07-20,土,,,5,12,11200,2,2000,3,2400,2,1800,2,1800,1,1200,2,2000,30.7,晴後曇,45.0,23.58,0.0,2.6,33.0,1006.0,76.0,5.5,8.5,35.8,25.0,0.0,8,5
2024-07-22,月,,,18,29,27100,5,5000,8,6400,4,3600,7,6300,4,4800,1,1000,30.5,その他,9.5,24.57,0.0,2.6,32.0,1005.7,75.0,6.8,12.8,36.6,24.8,0.0,0,0
2024-07-23,火,,,16,25,24500,6,6000,7,5600,5,4500,4,3600,4,4800,0,0,29.5,快晴,0.0,27.04,0.0,2.9,33.1,1004.6,82.0,6.4,9.1,34.5,24.2,0.0,2,1
2024-07-24,水,,,17,29,27400,6,6000,7,5600,4,3600,4,3600,3,3600,5,5000,30.1,その他,0.0,18.43,0.0,2.2,29.4,1002.8,69.0,10.7,21.1,36.0,24.9,0.0,0,2
2024-07-25,木,,,10,20,18700,5,5000,5,4000,2,1800,3,2700,1,1200,4,4000,30.2,その他,0.5,20.44,0.0,2.4,30.8,1005.6,72.0,5.6,7.9,34.8,27.0,0.0,0,3
2024-07-26,金,,,23,57,52800,10,10000,15,12000,10,9000,12,10800,5,6000,5,5000,30.1,薄曇,0.0,22.95,0.0,2.4,30.8,1011.8,73.0,5.3,8.5,35.6,26.1,0.0,21,4
2024-07-27,土,,,14,24,22500,5,5000,5,4000,4,3600,5,4500,2,2400,3,3000,30.3,その他,0.5,21.32,0.0,1.9,32.5,1014.3,76.0,4.1,6.6,35.6,26.7,0.0,0,5
2024-07-29,月,,,18,28,26000,6,6000,8,6400,4,3600,6,5400,3,3600,1,1000,32.3,薄曇後一時晴,0.0,25.36,0.0,3.1,29.3,1001.6,61.0,7.7,13.1,37.3,29.3,0.0,23,0
2024-07-30,火,,,13,21,19700,4,4000,5,4000,3,2700,4,3600,2,2400,3,3000,30.8,その他,0.5,11.32,0.0,2.3,29.9,998.2,68.0,5.1,8.6,36.1,27.8,0.0,0,1
2024-07-31,水,,,10,14,13000,3,3000,4,3200,2,1800,2,1800,1,1200,2,2000,29.4,曇後一時雨,42.5,18.18,0.0,2.7,31.0,1000.7,77.0,8.2,12.8,35.6,24.6,0.0,16,2
2024-08-01,木,,,13,26,24400,5,5000,6,4800,4,3600,4,3600,2,2400,5,5000,28.5,薄曇一時晴,0.0,22.26,0.0,2.4,28.3,1003.3,74.0,4.6,9.5,33.5,24.5,0.0,22,3
2024-08-02,金,,,28,50,45300,8,8000,17,13600,11,9900,8,7200,3,3600,3,3000,28.7,曇後晴,0.0,17.56,0.0,2.6,29.0,1004.1,74.0,5.5,8.9,33.9,25.4,0.0,17,4
2024-08-03,土,,,12,24,22700,4,4000,6,4800,4,3600,3,2700,3,3600,4,4000,29.4,晴一時曇,0.0,23.2,0.0,2.6,29.7,1005.5,73.0,4.7,7.1,34.6,26.0,0.0,4,5
2024-08-05,月,,,12,21,19700,4,4000,5,4000,4,3600,3,2700,2,2400,3,3000,30.0,薄曇一時晴,0.0,21.54,0.0,2.6,30.2,1004.7,72.0,5.9,9.4,35.0,26.1,0.0,22,0
2024-08-06,火,,,18,28,26300,5,5000,7,5600,4,3600,5,4500,3,3600,4,4000,29.9,曇,0.0,13.78,0.0,2.3,31.1,1004.0,74.0,3.9,7.2,33.5,26.6,0.0,12,1
2024-08-07,水,,,6,11,10200,2,2000,3,2400,2,1800,2,1800,1,1200,1,1000,28.9,薄曇後一時晴,76.5,15.75,0.0,2.6,31.6,1001.9,80.0,6.6,10.1,34.6,23.9,0.0,23,2
2024-08-08,木,,,18,30,27900,5,5000,9,7200,6,5400,5,4500,4,4800,1,1000,28.1,晴時々曇,0.0,13.84,0.0,2.2,32.8,1000.9,87.0,5.3,8.2,33.9,24.4,0.0,10,3
2024-08-09,金,,,23,44,41100,9,9000,12,9600,6,5400,7,6300,4,4800,6,6000,30.0,晴一時曇,0.0,21.74,0.0,2.7,30.9,999.2,74.0,5.6,9.4,35.3,26.6,0.0,4,4
2024-08-10,土,,,14,28,26100,6,6000,7,5600,6,5400,5,4500,3,3600,1,1000,30.0,晴後薄曇,0.0,23.18,0.0,2.7,28.9,997.8,69.0,5.3,11.0,34.9,26.8,0.0,9,5
2024-08-12,月,,,11,24,22200,5,5000,8,6400,3,2700,3,2700,2,2400,3,3000,31.2,晴,0.0,24.42,0.0,3.9,31.8,998.4,70.0,7.2,13.1,35.5,28.3,0.0,3,0
2024-08-13,火,,,13,28,26400,5,5000,6,4800,5,4500,5,4500,3,3600,4,4000,30.8,晴,0.0,21.97,0.0,3.6,32.2,1003.9,73.0,6.0,10.3,34.9,27.7,0.0,3,1
2024-08-14,水,,,11,17,15800,3,3000,5,4000,3,2700,3,2700,2,2400,1,1000,30.4,晴,0.0,16.32,0.0,2.7,31.7,1004.9,74.0,6.7,10.1,34.7,27.4,0.0,3,2
2024-08-15,木,,,16,24,22200,5,5000,7,5600,4,3600,4,3600,2,2400,2,2000,30.3,晴時々薄曇,0.0,19.2,0.0,2.7,32.1,1004.3,75.0,6.3,10.3,35.7,26.8,0.0,11,3
2024-08-16,金,,,3,6,5600,1,1000,2,1600,1,900,1,900,1,1200,0,0,26.7,その他,90.0,4.21,0.0,4.2,33.4,999.7,95.0,7.3,16.3,29.1,25.2,0.0,0,4
2024-08-17,土,,,10,22,20300,4,4000,6,4800,3,2700,4,3600,1,1200,4,4000,30.4,その他,0.0,19.05,0.0,2.7,31.8,1002.4,74.0,5.4,10.8,35.9,25.4,0.0,0,5
2024-08-19,月,,,10,16,15100,3,3000,4,3200,3,2700,2,1800,2,2400,2,2000,29.2,曇時々晴,22.0,18.1,0.0,2.4,33.2,1009.1,83.0,9.5,18.8,34.5,23.3,0.0,19,0
2024-08-20,火,,,21,37,34800,7,7000,10,8000,5,4500,5,4500,4,4800,6,6000,28.3,その他,0.5,19.91,0.0,2.4,30.5,1010.2,81.0,6.1,9.6,34.7,23.5,0.0,0,1
